           p         isp           t         pip        aeat
   3.4474E+01  0.0000E+00  3.4479E+03  1.0000E+00  0.0000E+00
   1.9973E+01  1.1964E+03  3.2855E+03  1.7260E+00  1.0000E+00
   1.6892E+00  2.6322E+03  2.6261E+03  2.0408E+01  4.0858E+00
   1.2669E+00  2.7341E+03  2.5490E+03  2.7211E+01  5.0698E+00
   1.0135E+00  2.8084E+03  2.4876E+03  3.4014E+01  6.0043E+00
   8.4460E-01  2.8661E+03  2.4362E+03  4.0816E+01  6.9003E+00
   4.1368E+01  0.0000E+00  3.4714E+03  1.0000E+00  0.0000E+00
   2.3960E+01  1.1993E+03  3.3060E+03  1.7266E+00  1.0000E+00
   2.0271E+00  2.6366E+03  2.6332E+03  2.0408E+01  4.0772E+00
   1.5203E+00  2.7384E+03  2.5541E+03  2.7211E+01  5.0570E+00
   1.2162E+00  2.8126E+03  2.4912E+03  3.4014E+01  5.9871E+00
   1.0135E+00  2.8703E+03  2.4387E+03  4.0816E+01  6.8784E+00
   2.0684E+01  0.0000E+00  3.3905E+03  1.0000E+00  0.0000E+00
   1.2002E+01  1.1816E+03  3.2386E+03  1.7234E+00  1.0000E+00
   1.0135E+00  2.6095E+03  2.6375E+03  2.0408E+01  4.1327E+00
